id,fy_year,Taxable_Income_percentile,avg_tax_rate,avg_tax_bill,total_tax_bn,min_income,max_income,avg_income,facet,Financial year ending,label
Budget2018,2027-28,52,0.198,12198.5821282907,2.005,61085,62337,61705.6996662959,Budget 2018,2028,
Budget2018,2027-28,53,0.201,12657.6153560831,2.08,62337,63635,62978.7429525223,Budget 2018,2028,
Budget2018,2027-28,54,0.204,13126.9796069707,2.158,63635,64947,64284.1486837227,Budget 2018,2028,
Budget2018,2027-28,55,0.207,13610.7882047478,2.237,64947,66347,65643.1639465875,Budget 2018,2028,
Budget2018,2027-28,56,0.211,14116.949925816,2.32,66348,67749,67051.300074184,Budget 2018,2028,
Budget2018,2027-28,57,0.213,14606.1968854283,2.401,67749,69175,68452.3344456804,Budget 2018,2028,
Budget2018,2027-28,58,0.216,15103.1617210682,2.482,69175,70643,69902.8790801187,Budget 2018,2028,
Budget2018,2027-28,59,0.219,15618.6796440489,2.568,70643,72134,71387.212458287,Budget 2018,2028,
Budget2018,2027-28,60,0.221,16145.6494807122,2.653,72134,73737,72926.7993323442,Budget 2018,2028,
Budget2018,2027-28,61,0.224,16705.418768546,2.745,73738,75344,74534.4146884273,Budget 2018,2028,
Budget2018,2027-28,62,0.227,17269.9703374119,2.839,75344,77012,76176.2220986281,Budget 2018,2028,
Budget2018,2027-28,63,0.229,17849.8026706231,2.933,77014,78701,77860.1984421365,Budget 2018,2028,
Budget2018,2027-28,64,0.232,18445.1817507418,3.031,78701,80455,79576.6965875371,Budget 2018,2028,
Budget2018,2027-28,65,0.234,19046.9959213941,3.131,80455,82224,81335.1349647757,Budget 2018,2028,
Budget2018,2027-28,66,0.237,19664.9258160237,3.232,82225,84054,83121.0055637982,Budget 2018,2028,
Budget2018,2027-28,67,0.239,20334.7089358547,3.343,84054,86031,85045.4519836856,Budget 2018,2028,
Budget2018,2027-28,68,0.241,21008.5408011869,3.452,86031,87980,87003.2010385757,Budget 2018,2028,
Budget2018,2027-28,69,0.244,21694.6327893175,3.565,87981,90035,88997.1513353116,Budget 2018,2028,
Budget2018,2027-28,70,0.246,22395.8902484242,3.682,90036,92019,91023.0608083055,Budget 2018,2028,
Budget2018,2027-28,71,0.248,23107.546735905,3.797,92020,94160,93082.8041543027,Budget 2018,2028,
Budget2018,2027-28,72,0.251,23879.4716351502,3.926,94160,96474,95314.0152020764,Budget 2018,2028,
Budget2018,2027-28,73,0.253,24663.5304154303,4.053,96476,98710,97586.6876854599,Budget 2018,2028,
Budget2018,2027-28,74,0.255,25443.9232195846,4.181,98710,101030,99851.4172848665,Budget 2018,2028,
Budget2018,2027-28,75,0.257,26276.4193548387,4.32,101031,103540,102265.783092325,Budget 2018,2028,
Budget2018,2027-28,76,0.259,27165.4855341246,4.464,103540,106155,104842.324183976,Budget 2018,2028,
Budget2018,2027-28,77,0.261,28059.8757879125,4.613,106156,108769,107437.689655172,Budget 2018,2028,
Budget2018,2027-28,78,0.263,28993.8571958457,4.765,108769,111548,110134.369065282,Budget 2018,2028,
Budget2018,2027-28,79,0.265,30000.3412462908,4.93,111549,114540,113060.139465875,Budget 2018,2028,
Budget2018,2027-28,80,0.267,31013.9555061179,5.098,114541,117506,115991.541342232,Budget 2018,2028,
